"rid","binaryID"
1,"1"
2,"10"
3,"11"
4,"100"
5,"101"
6,"1000"
7,"1001"
8,"10000"
9,"10001"
10,"10010"
11,"10011"
12,"110"
13,"111"
14,"100100"
15,"100101"
16,"1001000"
17,"1001001"
18,"10010000"
19,"10010001"
20,"1010"
21,"1011"
22,"100000"
23,"100001"
24,"10100"
25,"10101"
26,"1000000"
27,"1000001"
28,"1000010"
29,"1000011"
30,"101000"
31,"101001"
32,"1001010"
33,"1001011"
34,"100100000"
35,"100100001"
36,"10000100"
37,"10000101"
38,"10000110"
39,"10000111"
40,"1010010"
41,"1010011"
42,"100001000"
43,"100001001"
44,"100100010"
45,"100100011"
46,"1000010000"
47,"1000010001"
48,"100011"
49,"100001010"
50,"100001011"
51,"1001000000"
52,"1001000001"
53,"1001000010"
54,"1001000011"
55,"1000010010"
56,"1000010011"
57,"1001000100"
58,"1001000101"
59,"10010000100"
60,"10010000101"
61,"10000100100"
62,"10000100101"
63,"10000100000"
64,"10000100001"
65,"100100001000"
66,"100100001001"
67,"10110"
68,"10111"
69,"101100"
70,"101101"
71,"10000010"
72,"10000011"
73,"1001000010000"
74,"1001000010001"
75,"100001100"
76,"100001101"
77,"100000101"
78,"100001110"
79,"100001111"
80,"1000011000"
81,"1000011001"
82,"1001000110"
83,"1001000111"
84,"10000100010"
85,"10000100011"
86,"1000011011"
87,"10000110110"
88,"10000110111"
89,"1001000010010"
90,"1001000010011"
91,"100001001000"
92,"100001001001"
93,"1000010010000"
94,"1000010010001"
95,"10000100100000"
96,"10000100100001"
97,"10010100"
98,"10010101"
99,"10000110000"
100,"10000110001"
101,"100001101110"
102,"100001101111"
103,"10010000100100"
104,"10010000100101"
105,"1000001010"
106,"1000001011"
107,"1000011011100"
108,"1000011011101"
109,"100001100000"
110,"100001100001"
111,"100100001001000"
112,"100100001001001"
113,"1001000010010000"
114,"1001000010010001"
115,"1000010010010"
116,"1000010010011"
117,"100001001000000"
118,"100001001000001"
119,"1001000010010010"
120,"1001000010010011"
121,"10010000100100000"
122,"10010000100100001"
123,"100001000110"
124,"100001000111"
125,"100100001001000000"
126,"100100001001000001"
127,"100001100010"
128,"100001100011"
129,"1000010001100"
130,"1000010001101"
131,"100100001010"
132,"100100001011"
133,"10010000100000"
134,"10010000100001"
135,"100001001000010"
136,"100001001000011"
137,"1000011011110"
138,"1000011011111"
139,"100100001001010"
140,"100100001001011"
141,"100100001001000010"
142,"100100001001000011"
143,"1000010010000000"
144,"1000010010000001"
145,"10000110111100"
146,"10000110111101"
147,"10010000110"
148,"10010000111"
149,"1001000010010000100"
150,"1001000010010000101"
151,"10000100100100"
152,"10000100100101"
153,"10010000100100100"
154,"10010000100100101"
155,"100100001001001000"
156,"100100001001001001"
157,"100001101111001"
158,"10010000100100001001"
159,"1001000010010010000"
160,"1001000010010010001"
161,"1001000010010010011"
162,"100100001001001010"
163,"100100001001001011"
164,"10010000100100100000"
165,"10010000100100100001"
166,"1001000010010101"
167,"1011010"
168,"1011011"
169,"10000100100000000"
170,"10000100100000001"
171,"10010001100"
172,"10010001101"
173,"100001001000000000"
174,"100001001000000001"
175,"1000011000100"
176,"1000011000101"
177,"10010000100100100010"
178,"10010000100100100011"
179,"1000010010000000000"
180,"1000010010000000001"
181,"10110101"
182,"1001000010010000110"
183,"1001000010010000111"
184,"100001101111010"
185,"100001101111011"
186,"10000100100000010"
187,"10000100100000011"
188,"100001001001010"
189,"100001001001011"
190,"100001001000000011"
191,"10010000100100001100"
192,"10010000100100001101"
193,"1000010010000000011"
194,"10000100100111"
195,"100100001001001000001"
196,"10010000100100001110"
197,"10010000100100001111"
198,"10010000100100001011"
199,"1000011011110100"
200,"1000011011110101"
201,"100100001001000011100"
202,"100100001001000011101"
203,"1000011011110011"
204,"100100001001001000010"
205,"100100001001001000011"
206,"100100001001000010010"
207,"100100001001000010011"
208,"10000100100000000000"
209,"10000100100000000001"
210,"100100001001001000101"
211,"101101010"
212,"101101011"
213,"1001000010010000111000"
214,"1001000010010000111001"
215,"100100001001000011110"
216,"100100001001000011111"
217,"10000110111100111"
218,"100001001000000000000"
219,"100001001000000000001"
220,"1011010100"
